,ep,tloss,tacc,vloss,vacc
0,1,3.0373092982540695,0.25243204760727084,2.505550160940113,0.3858445738901908
1,2,2.560381478038282,0.3563578541683887,2.3305562929022465,0.4036154966369719
2,3,2.4274997075069455,0.37876210695142903,2.277295202912179,0.4160216125168002
3,4,2.3594006244539116,0.3912324790275119,2.2140667528041953,0.42567826487731525
4,5,2.3084549407164254,0.39998550575850855,2.188066157788166,0.428092427967444
5,6,2.269667412420224,0.40810654116159867,2.1699140394194445,0.43506667689448264
6,7,2.2431494178692937,0.4116261893845614,2.1506076516511614,0.4354402974183979
7,8,2.2097666980372828,0.4190070595503073,2.1449463729438865,0.44009618333225087
8,9,2.19223636608317,0.42234233254995573,2.116753143686082,0.44194512574457817
9,10,2.1699507521880483,0.4281943805008084,2.1121779403973036,0.4461986511434097
